text,department,priority
Drainage water is entering homes in Sector 21 after every rain.,Sanitation,High
There has been no water supply in Sector 8 for three days.,Water Supply,High
The electric pole near Model Town is leaning dangerously.,Electricity,High
Foul smell from accumulated garbage is spreading in Andheri West.,Waste Management,High
Streetlight poles have fallen on the road in Sector 21.,Roads & Infrastructure,High
Construction waste has been dumped illegally in Ward 5.,Waste Management,Medium
Frequent breakdowns of buses on the route through the industrial area are causing delays.,Public Transport,Medium
"No water supply since morning in Nehru Colony, please send a tanker.",Water Supply,High
Buses are overcrowded on the route passing through the main market area.,Public Transport,Low
The electric pole near Civil Lines is leaning dangerously.,Electricity,High
The community toilet complex in Civil Lines has no water supply.,Sanitation,Medium
Public property was vandalized near Ward 5 last night.,Others,Medium
A drain near Lake View Colony is blocked and causing a foul smell.,Sanitation,Medium
There is no bus connectivity to the new colony near the old city area.,Public Transport,Medium
Fireworks are being burst illegally at odd hours in the main market area.,Others,Low
A loudspeaker is being used past permitted hours near Sector 12.,Others,Low
There is a persistent water shortage in Andheri West during summer.,Water Supply,Medium
No wheelchair access is available at the bus stop in Sector 12.,Public Transport,Medium
The boundary wall of the park in Green Park has collapsed.,Parks,Medium
The walking track in the park near the industrial area is damaged.,Parks,Low
The boundary wall of the park in Shastri Nagar has collapsed.,Parks,Medium
Construction waste has been dumped illegally in Shastri Nagar.,Waste Management,Medium
There is no footover bridge near the busy crossing in Model Town.,Roads & Infrastructure,Low
There is no bus connectivity to the new colony near Green Park.,Public Transport,Medium
No street lights are working on the main road of Sector 21.,Electricity,Medium
The public transport app shows wrong routes for Andheri West.,Public Transport,Low
Anti-social elements gather in the park at Rajaji Nagar at night.,Parks,Medium
The bus stop shelter near the main market area is broken and offers no cover.,Public Transport,Low
No street lights are working on the main road of the main market area.,Electricity,Medium
Frequent power cuts are affecting households in Civil Lines.,Electricity,Medium
Construction debris has been left on the road in Sector 21 for weeks.,Roads & Infrastructure,Medium
The public garden near Andheri West lacks proper waste bins.,Parks,Low
Faulty wiring in the streetlight box near MG Road is sparking.,Electricity,High
Sewage water is overflowing onto the street in Sector 8.,Sanitation,High
Construction debris has been left on the road in MG Road for weeks.,Roads & Infrastructure,Medium
Encroachment by vendors is blocking the pavement in the railway colony.,Others,Low
Transformer exploded and wires are sparking near Civil Lines.,Electricity,High
Garbage collection timings in Koramangala keep changing randomly.,Waste Management,Low
Park equipment in Andheri West has not been maintained for months.,Parks,Low
Noise pollution from a nearby factory in the old city area continues at night.,Others,Medium
Low water pressure in the pipeline near Rajaji Nagar.,Water Supply,Low
"A manhole cover is missing near the industrial area, causing bad odor.",Sanitation,Medium
Mosquito breeding is increasing due to stagnant drain water in Sector 21.,Sanitation,High
The auto-rickshaw stand near Sector 12 has no proper signage.,Public Transport,Low
A large heap of uncollected waste is rotting near Sector 21.,Waste Management,High
Medical waste was found dumped near a residential area in Vasant Vihar.,Waste Management,High
The garbage truck skipped Vasant Vihar again this week.,Waste Management,Low
Buses are overcrowded on the route passing through the housing board colony.,Public Transport,Low
The community toilet complex in Model Town has no water supply.,Sanitation,Medium
Power supply in Koramangala has not been restored after yesterday's cut.,Electricity,High
Streetlight poles have fallen on the road in Andheri West.,Roads & Infrastructure,High
The public toilet near Nehru Colony is extremely unhygienic.,Sanitation,Medium
Low water pressure in the pipeline near Sector 8.,Water Supply,Low
The electric pole near the housing board colony is leaning dangerously.,Electricity,High
A large heap of uncollected waste is rotting near Sector 8.,Waste Management,High
Conductors on the route through the old city area are misbehaving with passengers.,Public Transport,Medium
Unauthorized construction is taking place near the housing board colony.,Others,Medium
Illegal parking is blocking the entrance of Koramangala society.,Others,Low
The bus stop shelter near Sector 21 is broken and offers no cover.,Public Transport,Low
"Road markings near Lake View Colony have faded, causing confusion for drivers.",Roads & Infrastructure,Low
The fountain in the park near Sector 12 has been non-functional for a year.,Parks,Low
The garbage truck skipped Shastri Nagar again this week.,Waste Management,Low
There is no footover bridge near the busy crossing in Ward 5.,Roads & Infrastructure,Low
Water supply timing in Koramangala has been reduced without notice.,Water Supply,Low
Water supply has been irregular in Koramangala for the past week.,Water Supply,Medium
Water supply has been irregular in the main market area for the past week.,Water Supply,Medium
"No water supply since morning in Sector 21, please send a tanker.",Water Supply,High
The water meter installed in Green Park seems faulty and overbilling.,Water Supply,Low
The public transport app shows wrong routes for the housing board colony.,Public Transport,Low
Garbage is piling up on the street corner in MG Road.,Waste Management,Medium
Water supply timing in Green Park has been reduced without notice.,Water Supply,Low
The community dustbin in Vasant Vihar has not been emptied in days.,Waste Management,Low
Dead animals have been left uncollected near Andheri West.,Waste Management,High
Voltage fluctuation is damaging appliances in Sector 21.,Electricity,Medium
Faulty wiring in the streetlight box near Sector 12 is sparking.,Electricity,High
The auto-rickshaw stand near the railway colony has no proper signage.,Public Transport,Low
Water is leaking continuously from a broken pipe in the industrial area.,Water Supply,Medium
The bus service to Sector 8 has been irregular for a month.,Public Transport,Medium
Foul smell from accumulated garbage is spreading in Ward 5.,Waste Management,High
The local train service near Sector 21 was delayed by two hours.,Public Transport,Medium
Frequent power cuts are affecting households in the railway colony.,Electricity,Medium
"A manhole cover is missing near Vasant Vihar, causing bad odor.",Sanitation,Medium
The newly laid road in Green Park is already cracking.,Roads & Infrastructure,Medium
"Street dogs have taken over the park in Koramangala, scaring children.",Parks,Medium
Frequent power cuts are affecting households in Green Park.,Electricity,Medium
No street lights are working on the main road of the railway colony.,Electricity,Medium
Transformer exploded and wires are sparking near Green Park.,Electricity,High
Construction waste has been dumped illegally in the industrial area.,Waste Management,Medium
Buses are overcrowded on the route passing through Sector 8.,Public Transport,Low
There is a huge pothole on the main road near Civil Lines.,Roads & Infrastructure,High
The local train service near the old city area was delayed by two hours.,Public Transport,Medium
The public garden near Sector 12 lacks proper waste bins.,Parks,Low
The walking track in the park near the main market area is damaged.,Parks,Low
Fireworks are being burst illegally at odd hours in the housing board colony.,Others,Low
The garbage truck skipped Civil Lines again this week.,Waste Management,Low
The fountain in the park near Civil Lines has been non-functional for a year.,Parks,Low
The boundary wall of the park in Ward 5 has collapsed.,Parks,Medium
Water is leaking continuously from a broken pipe in the main market area.,Water Supply,Medium
A power line fell down during the storm near Sector 21.,Electricity,High
An exposed electric wire is hanging low near the railway colony.,Electricity,High
Residents of Nehru Colony report an unidentified bad smell in the air.,Others,Medium
Plastic waste is scattered all over the park in Vasant Vihar.,Waste Management,Low
The auto-rickshaw stand near MG Road has no proper signage.,Public Transport,Low
The water meter installed in the housing board colony seems faulty and overbilling.,Water Supply,Low
"A major water pipeline has burst near Vasant Vihar, flooding the street.",Water Supply,High
"Street dogs have taken over the park in Shastri Nagar, scaring children.",Parks,Medium
There is no bus connectivity to the new colony near Rajaji Nagar.,Public Transport,Medium
A drain near Sector 12 is blocked and causing a foul smell.,Sanitation,Medium
"A manhole cover is missing near Green Park, causing bad odor.",Sanitation,Medium
The bus service to the railway colony has been irregular for a month.,Public Transport,Medium
The walking track in the park near Ward 5 is damaged.,Parks,Low
Dead animals have been left uncollected near the railway colony.,Waste Management,High
Anti-social elements gather in the park at the old city area at night.,Parks,Medium
A stray cattle menace is causing accidents on the road in Sector 12.,Others,Medium
Conductors on the route through the industrial area are misbehaving with passengers.,Public Transport,Medium
Streetlights in Green Park flicker constantly and need repair.,Electricity,Low
"A major water pipeline has burst near the main market area, flooding the street.",Water Supply,High
Stray dogs have been aggressive towards residents in Green Park.,Others,Medium
Sewage water is overflowing onto the street in Andheri West.,Sanitation,High
The last bus to the main market area was cancelled without any notice.,Public Transport,Medium
There has been a power outage in the main market area since last night.,Electricity,High
Streetlight poles have fallen on the road in Shastri Nagar.,Roads & Infrastructure,High
Public toilets in Ward 5 have not been cleaned in weeks.,Sanitation,Medium
The public transport app shows wrong routes for Rajaji Nagar.,Public Transport,Low
Waste segregation bins in Sector 21 are overflowing.,Waste Management,Medium
The water tanker did not arrive in MG Road today.,Water Supply,Medium
"Road markings near MG Road have faded, causing confusion for drivers.",Roads & Infrastructure,Low
Bus timings displayed at the MG Road stop are outdated.,Public Transport,Low
The footpath near Rajaji Nagar is broken and unsafe for pedestrians.,Roads & Infrastructure,Medium
The park in Nehru Colony has overgrown grass and needs mowing.,Parks,Low
A general complaint about civic apathy in the Civil Lines ward office.,Others,Low
Illegal parking is blocking the entrance of Lake View Colony society.,Others,Low
An open manhole on the road in Rajaji Nagar is a serious safety hazard.,Roads & Infrastructure,High
The footpath near Lake View Colony is broken and unsafe for pedestrians.,Roads & Infrastructure,Medium
Voltage fluctuation is damaging appliances in the industrial area.,Electricity,Medium
The public toilet near the old city area is extremely unhygienic.,Sanitation,Medium
A drain near the main market area is blocked and causing a foul smell.,Sanitation,Medium
Garbage collection timings in Ward 5 keep changing randomly.,Waste Management,Low
A loudspeaker is being used past permitted hours near Rajaji Nagar.,Others,Low
The electricity meter in the old city area is showing incorrect readings.,Electricity,Low
Garbage is piling up on the street corner in the industrial area.,Waste Management,Medium
"There are no functioning lights in the park at Shastri Nagar, unsafe at night.",Parks,Medium
Drainage water is entering homes in Rajaji Nagar after every rain.,Sanitation,High
Benches in the park at Sector 8 are broken and rusted.,Parks,Low
Foul odor from the choked drain outside Andheri West is unbearable.,Sanitation,Medium
Road widening work in Green Park has been abandoned midway.,Roads & Infrastructure,Low
Stray dogs have been aggressive towards residents in Shastri Nagar.,Others,Medium
The water tanker did not arrive in Sector 21 today.,Water Supply,Medium
"The sewer line near MG Road has collapsed, flooding the lane.",Sanitation,High
Plastic waste is scattered all over the park in Rajaji Nagar.,Waste Management,Low
"The sewer line near the old city area has collapsed, flooding the lane.",Sanitation,High
The community dustbin in Green Park has not been emptied in days.,Waste Management,Low
Park equipment in the railway colony has not been maintained for months.,Parks,Low
Open defecation is being reported near the outskirts of MG Road.,Sanitation,Medium
"A major water pipeline has burst near Sector 8, flooding the street.",Water Supply,High
Speed breakers near the school in Ward 5 have worn off completely.,Roads & Infrastructure,Medium
An exposed electric wire is hanging low near MG Road.,Electricity,High
Power supply in the main market area has not been restored after yesterday's cut.,Electricity,High
The footpath near Model Town is broken and unsafe for pedestrians.,Roads & Infrastructure,Medium
Encroachment by vendors is blocking the pavement in Nehru Colony.,Others,Low
The newly laid road in Andheri West is already cracking.,Roads & Infrastructure,Medium
The newly laid road in Civil Lines is already cracking.,Roads & Infrastructure,Medium
Bus timings displayed at the Vasant Vihar stop are outdated.,Public Transport,Low
The electricity meter in Civil Lines is showing incorrect readings.,Electricity,Low
A large heap of uncollected waste is rotting near Green Park.,Waste Management,High
Air pollution levels near the factory in Ward 5 are very high.,Others,High
"Road markings near the main market area have faded, causing confusion for drivers.",Roads & Infrastructure,Low
Waste segregation bins in Andheri West are overflowing.,Waste Management,Medium
Conductors on the route through the main market area are misbehaving with passengers.,Public Transport,Medium
Voltage fluctuation is damaging appliances in Green Park.,Electricity,Medium
"Trees in the park at Nehru Colony need urgent pruning, branches are falling.",Parks,Medium
The road in Green Park has been damaged after the recent rains.,Roads & Infrastructure,Medium
Noise pollution from a nearby factory in the industrial area continues at night.,Others,Medium
"Trees in the park at Sector 8 need urgent pruning, branches are falling.",Parks,Medium
The community toilet complex in Lake View Colony has no water supply.,Sanitation,Medium
Foul odor from the choked drain outside the housing board colony is unbearable.,Sanitation,Medium
The park in Rajaji Nagar has overgrown grass and needs mowing.,Parks,Low
No wheelchair access is available at the bus stop in the industrial area.,Public Transport,Medium
The water tanker did not arrive in Andheri West today.,Water Supply,Medium
Faulty wiring in the streetlight box near the old city area is sparking.,Electricity,High
Construction debris has been left on the road in Civil Lines for weeks.,Roads & Infrastructure,Medium
The children's park in Sector 12 has broken swings and slides.,Parks,Medium
There is no footover bridge near the busy crossing in Shastri Nagar.,Roads & Infrastructure,Low
The fountain in the park near Ward 5 has been non-functional for a year.,Parks,Low
"The sewer line near Nehru Colony has collapsed, flooding the lane.",Sanitation,High
Fireworks are being burst illegally at odd hours in Sector 12.,Others,Low
Frequent breakdowns of buses on the route through Model Town are causing delays.,Public Transport,Medium
Streetlights in Shastri Nagar flicker constantly and need repair.,Electricity,Low
The water meter installed in Sector 8 seems faulty and overbilling.,Water Supply,Low
Drainage water is entering homes in Nehru Colony after every rain.,Sanitation,High
An open manhole on the road in Model Town is a serious safety hazard.,Roads & Infrastructure,High
Sewage is leaking directly into the drinking water line near Shastri Nagar.,Sanitation,High
Anti-social elements gather in the park at Nehru Colony at night.,Parks,Medium
Streetlights in Koramangala flicker constantly and need repair.,Electricity,Low
Park equipment in the main market area has not been maintained for months.,Parks,Low
A power line fell down during the storm near Koramangala.,Electricity,High
There has been a power outage in Sector 12 since last night.,Electricity,High
Drinking water in the industrial area smells foul and looks dirty.,Water Supply,High
Water supply timing in Rajaji Nagar has been reduced without notice.,Water Supply,Low
There has been no garbage collection for two weeks in Ward 5.,Waste Management,Medium
Air pollution levels near the factory in Nehru Colony are very high.,Others,High
No wheelchair access is available at the bus stop in Shastri Nagar.,Public Transport,Medium
Sewage water is overflowing onto the street in Model Town.,Sanitation,High
A power line fell down during the storm near the main market area.,Electricity,High
Drinking water in the housing board colony smells foul and looks dirty.,Water Supply,High
Garbage collection timings in Model Town keep changing randomly.,Waste Management,Low
There is a huge pothole on the main road near Model Town.,Roads & Infrastructure,High
Sewage is leaking directly into the drinking water line near Nehru Colony.,Sanitation,High
"No water supply since morning in Rajaji Nagar, please send a tanker.",Water Supply,High
Contaminated water is being supplied to households in the industrial area.,Water Supply,High
There has been no water supply in Green Park for three days.,Water Supply,High
Medical waste was found dumped near a residential area in Sector 8.,Waste Management,High
Air pollution levels near the factory in Vasant Vihar are very high.,Others,High
The bus service to MG Road has been irregular for a month.,Public Transport,Medium
"Trees in the park at Civil Lines need urgent pruning, branches are falling.",Parks,Medium
Garbage is piling up on the street corner in Civil Lines.,Waste Management,Medium
A loudspeaker is being used past permitted hours near Sector 21.,Others,Low
The road in Sector 12 has been damaged after the recent rains.,Roads & Infrastructure,Medium
Benches in the park at Sector 21 are broken and rusted.,Parks,Low
Public toilets in Sector 21 have not been cleaned in weeks.,Sanitation,Medium
There is a persistent water shortage in the railway colony during summer.,Water Supply,Medium
Bus timings displayed at the the main market area stop are outdated.,Public Transport,Low
An exposed electric wire is hanging low near Rajaji Nagar.,Electricity,High
There has been no water supply in Andheri West for three days.,Water Supply,High
Drinking water in Sector 12 smells foul and looks dirty.,Water Supply,High
Speed breakers near the school in the main market area have worn off completely.,Roads & Infrastructure,Medium
Frequent breakdowns of buses on the route through Nehru Colony are causing delays.,Public Transport,Medium
There has been no garbage collection for two weeks in Andheri West.,Waste Management,Medium
Benches in the park at MG Road are broken and rusted.,Parks,Low
Water is leaking continuously from a broken pipe in Shastri Nagar.,Water Supply,Medium
Low water pressure in the pipeline near MG Road.,Water Supply,Low
The children's park in Andheri West has broken swings and slides.,Parks,Medium
"There are no functioning lights in the park at MG Road, unsafe at night.",Parks,Medium
"There are no functioning lights in the park at the main market area, unsafe at night.",Parks,Medium
An open manhole on the road in Nehru Colony is a serious safety hazard.,Roads & Infrastructure,High
Encroachment by vendors is blocking the pavement in Sector 12.,Others,Low
The community dustbin in Sector 8 has not been emptied in days.,Waste Management,Low
Stray dogs have been aggressive towards residents in Lake View Colony.,Others,Medium
The children's park in Civil Lines has broken swings and slides.,Parks,Medium
Public toilets in the old city area have not been cleaned in weeks.,Sanitation,Medium
Sewage is leaking directly into the drinking water line near Vasant Vihar.,Sanitation,High
A bridge near Sector 12 has developed a large crack.,Roads & Infrastructure,High
The electricity meter in Rajaji Nagar is showing incorrect readings.,Electricity,Low
The bus stop shelter near the housing board colony is broken and offers no cover.,Public Transport,Low
Noise pollution from a nearby factory in Sector 21 continues at night.,Others,Medium
Unauthorized construction is taking place near the old city area.,Others,Medium
Transformer exploded and wires are sparking near Shastri Nagar.,Electricity,High
Speed breakers near the school in Sector 21 have worn off completely.,Roads & Infrastructure,Medium
The road in Model Town has been damaged after the recent rains.,Roads & Infrastructure,Medium
Medical waste was found dumped near a residential area in Sector 21.,Waste Management,High
The last bus to Sector 12 was cancelled without any notice.,Public Transport,Medium
Contaminated water is being supplied to households in Ward 5.,Water Supply,High
"Street dogs have taken over the park in the industrial area, scaring children.",Parks,Medium
Contaminated water is being supplied to households in the railway colony.,Water Supply,High
Residents of the industrial area report an unidentified bad smell in the air.,Others,Medium
Road widening work in Ward 5 has been abandoned midway.,Roads & Infrastructure,Low
A bridge near the main market area has developed a large crack.,Roads & Infrastructure,High
Public property was vandalized near the housing board colony last night.,Others,Medium
A stray cattle menace is causing accidents on the road in Vasant Vihar.,Others,Medium
Open defecation is being reported near the outskirts of the housing board colony.,Sanitation,Medium
The park in Sector 21 has overgrown grass and needs mowing.,Parks,Low
There has been a power outage in Nehru Colony since last night.,Electricity,High
The public toilet near the railway colony is extremely unhygienic.,Sanitation,Medium
The last bus to MG Road was cancelled without any notice.,Public Transport,Medium
Dead animals have been left uncollected near Lake View Colony.,Waste Management,High
There is a persistent water shortage in MG Road during summer.,Water Supply,Medium
Foul odor from the choked drain outside the main market area is unbearable.,Sanitation,Medium
A general complaint about civic apathy in the the main market area ward office.,Others,Low
A general complaint about civic apathy in the Andheri West ward office.,Others,Low
Illegal parking is blocking the entrance of Rajaji Nagar society.,Others,Low
There has been no garbage collection for two weeks in Koramangala.,Waste Management,Medium
A stray cattle menace is causing accidents on the road in MG Road.,Others,Medium
A bridge near MG Road has developed a large crack.,Roads & Infrastructure,High
Public property was vandalized near MG Road last night.,Others,Medium
Water supply has been irregular in Nehru Colony for the past week.,Water Supply,Medium
There is a huge pothole on the main road near Andheri West.,Roads & Infrastructure,High
Residents of MG Road report an unidentified bad smell in the air.,Others,Medium
The public garden near Sector 21 lacks proper waste bins.,Parks,Low
Open defecation is being reported near the outskirts of the main market area.,Sanitation,Medium
Road widening work in MG Road has been abandoned midway.,Roads & Infrastructure,Low
The local train service near Koramangala was delayed by two hours.,Public Transport,Medium
Plastic waste is scattered all over the park in Lake View Colony.,Waste Management,Low
Waste segregation bins in Green Park are overflowing.,Waste Management,Medium
Mosquito breeding is increasing due to stagnant drain water in Koramangala.,Sanitation,High
Power supply in Vasant Vihar has not been restored after yesterday's cut.,Electricity,High
Foul smell from accumulated garbage is spreading in Vasant Vihar.,Waste Management,High
Mosquito breeding is increasing due to stagnant drain water in the housing board colony.,Sanitation,High
Unauthorized construction is taking place near Sector 12.,Others,Medium
